Variable Name,Value,Notes
organization_name,Aceable,Company name
organization_description,"Aceable provides state-approved online courses for driver education, defensive driving, real estate licensing, insurance licensing, and mortgage education.",Short description for WebSite schema
organization_long_description,"Award-winning online education platform specializing in state-approved courses. Named to Newsweek's 2025 list of America's Best Online Platforms. Aceable offers mobile-first, engaging courses that can be completed at your own pace.",Long description for Organization schema
base_url,https://www.aceable.com,Main website URL
organization_logo_url,https://xgrit-ecom.imgix.net/ace/Aceable-Logo.svg,Logo image URL
organization_award,Newsweek's 2025 America's Best Online Platforms,Latest award/recognition
social_facebook,https://www.facebook.com/aceable/,Facebook profile URL
social_instagram,https://www.instagram.com/aceable/,Instagram profile URL
social_twitter,https://x.com/aceableagent,X/Twitter profile URL
social_linkedin,https://www.linkedin.com/company/aceable,LinkedIn profile URL
social_youtube,https://www.youtube.com/channel/UC9VfB1Mgu4Msm39b7kXruBw,YouTube channel URL
social_tiktok,https://www.tiktok.com/@aceabledriving,TikTok profile URL
